ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,StreetAddress,LocalityAddress,TownAddress,Postcode,GeoAreaWardURI,GeoAreaWardLabel,UPRN,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,BabyChange,SecureDisposalofSharps,OpeningHours,ManagingBy,ChargeAmount,Notes
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,CHARLOTTE STREET ENTRANCE,CHARLOTTE STREET,KINGSMEAD,BATH,BA1 2NE,http://statistics.data.gov.uk/id/statistical-geography/E05001949,Kingsmead,10001147066,OSGB36,374661,165006,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,TRUE,24 Hours ,BANES COUNCIL AND HEALTHMATIC,0.2,
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,ALICE PARK,GLOUCESTER ROAD,LAMBRIDGE,BATH,BA1 7BL,http://statistics.data.gov.uk/id/statistical-geography/E05001950,Lambridge,10001146447,OSGB36,376350,166593,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,TRUE,06:00-21:00,BANES COUNCIL AND HEALTHMATIC,0.2,
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,HENRIETTA PARK,HENRIETTA ROAD,ABBEY,BATH,BA2 6LU,http://statistics.data.gov.uk/id/statistical-geography/E05001935,Abbey,10001147120,OSGB36,375338,165170,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,FALSE,Female and male,Winter & Su 10:00-16:00 | Other times: 08:00-18:00,BANES COUNCIL AND HEALTHMATIC,0,Scheduled for improvement Autumn 2014
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,SHAFTESBURY ROAD,SHAFTESBURY ROAD,OLDFIELD ,BATH,BA2 3LH,http://statistics.data.gov.uk/id/statistical-geography/E05001958,Oldfield,10001147060,OSGB36,373809,164268,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,TRUE,24 Hours ,BANES COUNCIL AND HEALTHMATIC,0.2,
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,THE SHALLOWS ,THE SHALLOWS,SALTFORD,SALTFORD,BS31 3EU,http://statistics.data.gov.uk/id/statistical-geography/E05001963,Saltford,10001144785,OSGB36,368697,167272,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,FALSE,FALSE,Mo-Sa 08:00-18:00 | Su 10:00-16:00,BANES COUNCIL AND HEALTHMATIC,0,Scheduled for improvement Autumn 2014
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,PARADE GARDENS,GRAND PARADE,ABBEY,BATH,BA2 4DF,http://statistics.data.gov.uk/id/statistical-geography/E05001935,Abbey,10001150792,OSGB36,375227,164816,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,Female | male and disabled,Winter & Su 10:00-16:00 | Other times: 08:00-18:00,BANES COUNCIL AND HEALTHMATIC,,Scheduled for improvement Autumn 2014
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,SYDNEY GARDENS,SYDNEY PLACE,BATHWICK,BATH,BA2 6NF,http://statistics.data.gov.uk/id/statistical-geography/E05001935,Abbey,10001143296,OSGB36,375695,165311,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,FALSE,Male,Mo-Sa 08:00-18:00 | Su 10:00-16:00,BANES COUNCIL AND HEALTHMATIC,0,Scheduled for improvement Autumn 2014
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,ROYAL VICTORIA PARK PLAY AREA ,ROYAL VICTORIA PARK PLAY AREA ,KINGSMEAD,BATH,BA1 2LZ,http://statistics.data.gov.uk/id/statistical-geography/E05001949,Kingsmead,10001145947,OSGB36,373891,165288,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,Male,Not Known,BANES COUNCIL AND HEALTHMATIC,0,Scheduled for improvement Autumn 2014
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,MEMORIAL PARK,KEYNSHAM MEMORIAL PARK,KEYNSHAM EAST,KEYNSHAM,BS31 1DG,http://statistics.data.gov.uk/id/statistical-geography/E05001947,Keynsham North,10023109490,OSGB36,365513,168636,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,TRUE,06:00-21:00,BANES COUNCIL AND HEALTHMATIC,0.2,From end September
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,RIVERSIDE COACH PARK,RIVERSIDE COACH PARK,KINGSMEAD,BATH,BA1 1UE,http://statistics.data.gov.uk/id/statistical-geography/E05001949,Kingsmead,10001146446,OSGB36,374812,164542,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,Female and male,06:00-19:45,BANES COUNCIL AND HEALTHMATIC,0,
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,ODD DOWN PARK & RIDE,ODD DOWN PARK & RIDE CAR PARK,BATHAVON WEST,BATH,BA2 8PA,http://statistics.data.gov.uk/id/statistical-geography/E05001957,Odd Down,10001147056,OSGB36,373285,161464,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,TRUE,15 minutes before and after Park & Ride opening hours ,BANES COUNCIL AND HEALTHMATIC,0.2,
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,CHARLOTTE STREET CAR PARK,CHARLOTTE STREET CAR PARK,KINGSMEAD,BATH,BA1 2NA,http://statistics.data.gov.uk/id/statistical-geography/E05001949,Kingsmead,10001145205,OSGB36,374431,165156,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,FALSE,Mo-Sa 08:00-18:00 | Su 10:00-16:00,BANES COUNCIL AND HEALTHMATIC,0,Scheduled for improvement Autumn 2014
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,ASHTON WAY CAR PARK,ASHTON WAY CAR PARK,KEYNSHAM NORTH,KEYNSHAM,BS31 2UF,http://statistics.data.gov.uk/id/statistical-geography/E05001947,Keynsham North,10001145204,OSGB36,365354,168603,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,Male,Mo-Sa 08:00-18:00 | Su 10:00-16:00,BANES COUNCIL AND HEALTHMATIC,0,
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,SANDPITS PLAY AREA/TWO TUNNELS PATH,MONKSDALE ROAD,OLDFIELD ,BATH,BA2 2JD,http://statistics.data.gov.uk/id/statistical-geography/E05001958,Oldfield,Not Known ,OSGB36,373563,163709,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,TRUE,06:00-21:00,BANES COUNCIL AND HEALTHMATIC,0.2,
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,SEVEN DIALS,MONMOUTH STREET,KINGSMEAD,BATH,BA1 2AN,http://statistics.data.gov.uk/id/statistical-geography/E05001949,Kingsmead,Not Known ,OSGB36,374816,164820,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,TRUE,TRUE,24 Hours ,BANES COUNCIL AND HEALTHMATIC,0.2,
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,GULLOCK TYNING,GULLOCK TYNING,MIDSOMER NORTON NORTH,MIDSOMER NORTON,BA3 2UG,http://statistics.data.gov.uk/id/statistical-geography/E05001954,Midsomer Norton North,Not Known ,OSGB36,366711,154310,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,FALSE,Female and male,Mo-Sa 08:00-18:00 | Su 10:00-16:00,BANES COUNCIL AND HEALTHMATIC,0,
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,ALEXANDRA PARK,ALEXANDRA PARK,WIDCOMBE,BATH,BA2 4RQ,http://statistics.data.gov.uk/id/statistical-geography/E05001952,Lyncombe,Not Known ,OSGB36,374927,163920,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,FALSE,FALSE,Mo-Sa 08:00-18:00 | Su 10:00-16:00,BANES COUNCIL AND HEALTHMATIC,0,Scheduled for improvement Autumn 2014
15/09/2014,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset,Bath and North East Somerset,http://id.esd.org.uk/service/579,Public Toilets,RED LION CAR PARK,HIGH STREET,PAULTON,BRISTOL,BS39 7NW,http://statistics.data.gov.uk/id/statistical-geography/E05001959,Paulton,Not Known ,OSGB36,365109,156632,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Female and male,FALSE,FALSE,To be confirmed,PAULTON PARISH COUNCIL,0,
